"lambda","h","mean_Q","Stable"
0.2,1,0.401598401598402,"Stable"
0.4,1,0.928071928071928,"Stable"
0.6,1,1.54045954045954,"Stable"
0.8,1,3.4015984015984,"Unstable"
1,1,21.7572427572428,"Unstable"
1.2,1,82.3896103896104,"Unstable"
1.4,1,215.963036963037,"Unstable"
0.2,2,0.380619380619381,"Stable"
0.4,2,0.894105894105894,"Stable"
0.6,2,1.96003996003996,"Stable"
0.8,2,4.75624375624376,"Unstable"
1,2,45.2527472527473,"Unstable"
1.2,2,116.275724275724,"Unstable"
1.4,2,202.918081918082,"Unstable"
0.2,3,0.350649350649351,"Stable"
0.4,3,1.29470529470529,"Stable"
0.6,3,1.97002997002997,"Stable"
0.8,3,4.75124875124875,"Unstable"
1,3,25.9070929070929,"Unstable"
1.2,3,129.154845154845,"Unstable"
1.4,3,169.793206793207,"Unstable"
0.2,4,0.352647352647353,"Stable"
0.4,4,1.38861138861139,"Stable"
0.6,4,2.61838161838162,"Unstable"
0.8,4,4.2027972027972,"Unstable"
1,4,10.99000999001,"Unstable"
1.2,4,102.979020979021,"Unstable"
1.4,4,244.458541458541,"Unstable"
0.2,5,0.497502497502497,"Stable"
0.4,5,1.15484515484515,"Stable"
0.6,5,2.94305694305694,"Unstable"
0.8,5,5.25074925074925,"Unstable"
1,5,28.6553446553447,"Unstable"
1.2,5,122.897102897103,"Unstable"
1.4,5,221.476523476523,"Unstable"
0.2,6,0.447552447552448,"Stable"
0.4,6,1.17882117882118,"Stable"
0.6,6,3.001998001998,"Unstable"
0.8,6,7.28171828171828,"Unstable"
1,6,18.2617382617383,"Unstable"
1.2,6,134.603396603397,"Unstable"
1.4,6,222.981018981019,"Unstable"
0.2,7,0.46953046953047,"Stable"
0.4,7,1.51648351648352,"Stable"
0.6,7,2.8981018981019,"Unstable"
0.8,7,6.04195804195804,"Unstable"
1,7,20.7552447552448,"Unstable"
1.2,7,111.731268731269,"Unstable"
1.4,7,249.338661338661,"Unstable"
0.2,8,0.351648351648352,"Stable"
0.4,8,1.46253746253746,"Stable"
0.6,8,3.26373626373626,"Unstable"
0.8,8,8.14185814185814,"Unstable"
1,8,20.027972027972,"Unstable"
1.2,8,118.902097902098,"Unstable"
1.4,8,182.537462537463,"Unstable"
