"lambda","mean_Q","var_Q","P_Q0","P_third","Stable"
0.2,0.452773613193403,0.531893553223388,0.657671164417791,0,"Stable"
0.3,0.769115442278861,1.12266566716642,0.522738630684658,0.0045,"Stable"
0.4,1.21389305347326,1.84722688655672,0.390804597701149,0.015,"Stable"
0.5,1.74412793603198,2.72749675162419,0.276861569215392,0.054,"Stable"
0.6,2.77061469265367,6.25885607196402,0.172913543228386,0.175,"Unstable"
0.7,3.69365317341329,8.70360469765117,0.122938530734633,0.3205,"Unstable"
0.8,6.33033483258371,23.0263243378311,0.0349825087456272,0.538,"Unstable"
0.9,11.2848575712144,50.1908155922039,0.0104947526236882,0.8265,"Unstable"
1,14.976011994003,102.005424287856,0.0134932533733133,0.8445,"Unstable"
1.1,96.8435782108945,3686.06801999,0.000999500249875062,0.9955,"Unstable"
1.2,205.39980009995,12239.10807996,0.000499750124937531,0.9945,"Unstable"
1.3,314.229885057471,35003.8121264368,0.000499750124937531,0.997,"Unstable"
1.4,409.674662668666,51509.7746026986,0.000499750124937531,1,"Unstable"
1.5,523.290354822589,90553.583151924,0.00149925037481259,0.996,"Unstable"
