"k","pmf","cdf"
0,0.449328964117222,0.449328964117222
1,0.359463171293777,0.808792135410999
2,0.143785268517511,0.95257740392851
3,0.0383427382713363,0.990920142199846
4,0.00766854765426725,0.998588689854113
5,0.00122696762468276,0.999815657478796
6,0.000163595683291035,0.999979253162087
7,1.86966495189754e-05,0.999997949811606
8,1.86966495189754e-06,0.999999819476558
9,1.6619244016867e-07,0.999999985668998
10,1.32953952134936e-08,0.999999998964393
11,9.66937833708626e-10,0.999999999931331
12,6.44625222472418e-11,0.999999999995794
