"slot_min","k","pmf"
5,0,0.449328964117222
5,1,0.359463171293777
5,2,0.143785268517511
5,3,0.0383427382713363
5,4,0.00766854765426725
5,5,0.00122696762468276
5,6,0.000163595683291035
5,7,1.86966495189754e-05
5,8,1.86966495189754e-06
5,9,1.6619244016867e-07
5,10,1.32953952134936e-08
5,11,9.66937833708626e-10
5,12,6.44625222472418e-11
5,13,3.96692444598411e-12
5,14,2.26681396913378e-13
5,15,1.20896745020468e-14
10,0,0.201896517994655
10,1,0.323034428791449
10,2,0.258427543033159
10,3,0.137828022951018
10,4,0.0551312091804073
10,5,0.0176419869377303
10,6,0.00470452985006142
10,7,0.00107532110858547
10,8,0.000215064221717093
10,9,3.82336394163722e-05
10,10,6.11738230661955e-06
10,11,8.89801062781025e-07
10,12,1.18640141704137e-07
10,13,1.46018635943553e-08
10,14,1.66878441078346e-09
10,15,1.78003670483569e-10
30,0,0.00822974704902002
30,1,0.0395027858352961
30,2,0.0948066860047107
30,3,0.151690697607537
30,4,0.182028837129045
30,5,0.174747683643883
30,6,0.139798146915106
30,7,0.0958615864560729
30,8,0.0575169518736438
30,9,0.0306757076659433
30,10,0.0147243396796528
30,11,0.00642516640566668
30,12,0.00257006656226667
30,13,0.000948947653760003
30,14,0.000325353481289143
30,15,0.000104113114012526
